Plot ID ,Province ,Forest class ,X ,Y ,AGB ,BGB 
1,Houaphan ,MD ,104.3980277,19.79892919,165.16,39.64
2,Xiengkhouang ,MCB ,103.1288973,19.67667808,66.63,13.33
3,Xiengkhouang ,MCB ,103.2079947,19.67832504,99.71,19.94
4,Houaphan ,MD ,104.4443539,19.66357335,209.75,50.34
5,Xiengkhouang ,CF ,102.8693957,19.64582614,166.6,38.32
6,Xiengkhouang ,MCB ,102.884006,19.62599988,152.56,36.61
7,Xiengkhouang ,MCB ,103.044208,19.63201423,79.42,15.88
8,Xiengkhouang ,CF ,103.0509049,19.63213577,84.27,26.97
9,Xiengkhouang ,CF ,103.1644403,19.62914465,85.2,27.26
10,Xiengkhouang ,CF ,103.2186097,19.63627576,94.35,30.19
12,Xiengkhouang ,MCB ,102.8558715,19.61803812,134.53,32.29
13,Xiengkhouang ,MD ,102.8912727,19.6059212,134.3,32.23
14,Xiengkhouang ,CF ,102.9689479,19.59847581,129.53,41.45
